"File Name","Priority","Issue Category","Issue Type","Line No","Existing Code","Problem","Fix Suggestion","Status"
"assets/builder/src/components/Canvas.js","Medium","JS Refactor","JS Long Component","114","export default function Canvas({","Canvas mixes zoom handling, node lookup maps, drop-target validation, edge construction, branch previews, toolbar rendering, and node rendering in one large component.","Extract edge derivation, zoom controls, and branch preview logic into hooks or pure helpers so Canvas is primarily layout composition.","Not Fixed"
"assets/builder/src/components/TokenField.js","Medium","Optimization","JS Unthrottled Handler","224","window.addEventListener('resize', onReposition);","The resize and captured scroll listeners call reposition logic directly, which can run many times per frame while the token picker is open.","Throttle with requestAnimationFrame or a debounced callback and remove pending work on cleanup.","Not Fixed"
"assets/builder/src/api.js","Low","Dead Code","JS Unused Function","199","export function fetchConnectionModels(connectionId, nodeType) {","This export is not imported or referenced anywhere in hand-written builder JS.","Remove it or wire model fetching through the existing fetchAiProviderModels path if it is a planned API facade.","Fixed"
"assets/builder/src/utils.js","Low","Dead Code","JS Unused Function","90","export function insertNodeInFlow(existingNodes, afterNodeId) {","This flow insertion helper has no project references outside its definition.","Delete it or migrate current node insertion code to use this helper consistently.","Fixed"
"assets/builder/src/utils/agentAttachments.js","Low","Dead Code","JS Unused Function","322","export function agentFallbackModelPortPosition(agentNode) {","This exported position helper is not referenced by the canvas, edge, or node-card code.","Remove it or use it where fallback model edge positions are calculated.","Fixed"
"assets/builder/src/utils/agentAttachments.js","Low","Dead Code","JS Unused Function","479","export function syncAgentGroupPositions(nodes, agentId, agentX, agentY) {","No hand-written JS imports or calls this exported synchronizer.","Delete the helper or centralize all agent drag-position syncing through it.","Fixed"
"assets/builder/src/utils/conditionBranches.js","Low","Dead Code","JS Unused Function","134","export function getConditionOperatorLabel(operator) {","This operator label helper is exported but has no references outside its own definition.","Remove it or reuse it in condition summary rendering instead of keeping a stale utility.","Fixed"
"assets/builder/src/utils/conditionBranches.js","Low","Dead Code","JS Unused Function","263","export function conditionInputPortPosition(node) {","This input port helper is exported but never called by canvas edge positioning code.","Delete it or route condition input edge calculations through it.","Fixed"
"assets/builder/src/utils/conditionBranches.js","Low","Dead Code","JS Unused Function","360","export function getBranchTargetId(conditionNode, branchId) {","This branch lookup helper is not referenced in the builder source.","Remove it or reuse it from branch editing code to avoid parallel logic.","Fixed"
"assets/builder/src/utils/flowConnections.js","Low","Dead Code","JS Unused Function","257","export function findFlowConnection(connections, fromNodeId, toNodeId) {","This exported lookup helper has no calls after a whole-source search.","Delete it or replace local connection find expressions with the helper.","Fixed"
"assets/builder/src/utils/flowConnections.js","Low","Dead Code","JS Unused Function","271","export function getFlowConnectionById(connections, connectionId) {","This exported lookup helper has no calls after a whole-source search.","Delete it or use it in selected-connection and edge-toolbar code.","Fixed"
"assets/builder/src/style.css","Medium","CSS Duplicate","CSS Duplicate Selector","2205",".wfa-builder-node--condition {","The same selector is defined earlier at line 2185 and then reopened only to add overflow, making the condition-node rule harder to reason about.","Merge overflow into the first .wfa-builder-node--condition rule unless the split is deliberately documenting a separate feature block.","Fixed"
"assets/builder/src/style.css","Medium","CSS Duplicate","CSS Duplicate Selector","2209",".wfa-condition-node__card {","The same selector is defined earlier at line 2197 and reopened only to add overflow.","Merge overflow into the first .wfa-condition-node__card block.","Fixed"
"assets/builder/src/style.css","Low","CSS Dead Code","CSS Unused Selector","732",".wfa-builder-picker__section-title {","Whole-project search found no PHP, JSX, JS string, or stylesheet reference to this class; the active picker uses wfa-builder-picker__section-heading instead.","Delete the unused selector after confirming no external extension relies on this internal builder class.","Fixed"
"assets/admin/css/admin.css","Low","CSS Duplicate","CSS Duplicate Declaration Block","126",".wfa-status-badge--unknown {","This block repeats the same background and color declarations already used by queued and skipped status badges at line 120.","Combine unknown with the queued and skipped selector group.","Fixed"
"assets/admin/css/admin.css","Low","CSS Duplicate","CSS Duplicate Declaration Block","187",".wfa-connection-current-value code {","The connection and webhook current-value code blocks use identical background, padding, and radius declarations.","Group the selectors or introduce a shared utility class for current-value code styling.","Fixed"
"assets/builder/src/style.css","Low","CSS Duplicate","CSS Duplicate Declaration Block","228",".wfa-builder-palette__item:hover,","Palette item hover and picker item hover repeat the same border, shadow, and outline declarations.","Group these hover selectors or create a shared interactive-list-item style.","Fixed"
"assets/builder/src/style.css","Low","CSS Duplicate","CSS Duplicate Declaration Block","391",".wfa-agent-node-wrap {","Agent, chat model, memory, output parser, and tool node wrappers repeat the same absolute positioning block.","Group all node wrapper selectors into one rule or introduce a shared wrapper class.","Fixed"
"assets/builder/src/style.css","Low","CSS Duplicate","CSS Duplicate Declaration Block","1153",".wfa-builder-config__key-value-add {","Several config-panel buttons repeat width:100% and justify-content:center across separate selectors.","Group the selectors or add a shared full-width action button class.","Fixed"
"assets/builder/src/style.css","Low","CSS Duplicate","CSS Repeated Value To Variable","46","border: 2px solid #e8edf5;","The literal #e8edf5 appears repeatedly for borders across builder panels, cards, pickers, and condition routes even though this file already defines custom properties.","Add a --wfa-border-muted custom property and replace repeated hardcoded border colors with the variable.","Fixed"
"assets/builder/src/style.css","Low","CSS Duplicate","CSS Repeated Value To Variable","59","border-bottom: 1px solid #e8edf5;","The same border literal recurs in header, palette, config, picker, cards, and agent panels, increasing future theme-update churn.","Use the same --wfa-border-muted variable for all matching border declarations.","Fixed"
